site_code,sample_id,site_id,day,month,year,Date,day_of_year,country,season,Latitude,Longitude,Heavily_modified,river_type,EQR,EQC,spp_richness,Simp,shannonsH,EvenJ,E10,abundance,S_PIE,turnover,turnover_app,turnover_disapp,spp_rich_rare,ept_spp_richness,ept_abundance,crustacea_spp_richness,crustacea_abundance,diptera_spp_richness,diptera_abundance,mollusc_spp_richness,mollusc_abundance,insect_spp_richness,insect_abundance,annelid_spp_richness,annelid_abundance,FRic,FEve,FDis,FRed,F_turnover
LTR1_2010,LTR1_2010_4.10.2010,LTR1,4,10,2010,4.10.2010,277,Lithuania,autumn,54.0306,23.9684,No,4,0.7,Good,30,0.914962706,2.735036821,0.8041394,0.091167894,432,12.06062962,NA,NA,NA,30,11,160,3,119,3,74,2,7,22,263,3,43,0.094784794,0.53872464,0.216487663,0.368263904,NA
LTR1_2012,LTR1_2012_1.10.2012,LTR1,1,10,2012,1.10.2012,275,Lithuania,autumn,54.0306,23.9684,No,4,0.6,Good,26,0.909158059,2.743612927,0.842090741,0.105523574,1217,11.09948398,0.697674419,0.302325581,0.395348837,24.50440711,3,47,2,93,6,331,7,422,14,459,3,243,0.090543538,0.649344024,0.240305936,0.312467808,0.016393443
LTR1_2013,LTR1_2013_7.10.2013,LTR1,7,10,2013,7.10.2013,280,Lithuania,autumn,54.0306,23.9684,No,4,0.72,Good,28,0.922983245,2.844657825,0.853686446,0.101594922,2311,13.05190042,0.578947368,0.315789474,0.263157895,26.84826666,7,884,2,72,6,573,4,205,20,1760,2,274,0.132027152,0.590712659,0.231658335,0.350637196,0.016393443
LTR1_2014,LTR1_2014_6.10.2014,LTR1,6,10,2014,6.10.2014,279,Lithuania,autumn,54.0306,23.9684,No,4,0.54,Moderate,25,0.933337533,2.933076872,0.911211563,0.117323075,756,15.28438303,0.527777778,0.222222222,0.305555556,24.95378199,5,162,3,80,4,183,6,113,13,438,3,125,0.076627049,0.60971826,0.244200142,0.332141924,0.032258065
LTR1_2015,LTR1_2015_5.10.2015,LTR1,5,10,2015,5.10.2015,278,Lithuania,autumn,54.0306,23.9684,No,4,0.81,Very good,35,0.926065191,3.00352404,0.844790436,0.085814973,1361,13.65115421,0.636363636,0.431818182,0.204545455,33.63442214,9,269,4,37,5,199,11,571,18,499,2,254,0.170452777,0.566713119,0.211454069,0.338301409,0.032258065
LTR1_2016,LTR1_2016_3.10.2016,LTR1,3,10,2016,3.10.2016,277,Lithuania,autumn,54.0306,23.9684,No,4,0.51,Moderate,25,0.75928075,1.76229489,0.54748769,0.070491796,3107,4.158439998,0.604651163,0.186046512,0.418604651,17.62549941,3,81,3,97,4,1100,4,563,13,1237,5,1210,0.087769434,0.458193296,0.223146058,0.312113611,0.032258065
LTR1_2017,LTR1_2017_2.10.2017,LTR1,2,10,2017,2.10.2017,275,Lithuania,autumn,54.0306,23.9684,No,4,0.63,Good,31,0.933619613,2.967288918,0.864094343,0.095718997,1023,15.27490284,0.634146341,0.390243902,0.243902439,28.28433468,6,182,3,210,4,123,8,291,17,389,3,133,0.147721443,0.426316262,0.243546098,0.351361312,0
LTR1_2020,LTR1_2020_5.10.2020,LTR1,5,10,2020,5.10.2020,279,Lithuania,autumn,54.0306,23.9684,No,4,0.54,Moderate,35,0.946884852,3.185833732,0.89606803,0.091023821,611,19.39379748,0.68,0.38,0.3,34.28636444,4,81,2,46,4,101,11,200,19,274,3,91,0.146139911,0.557436203,0.247368802,0.325868272,0
LTR105_2010,LTR105_2010_27.9.2010,LTR105,27,9,2010,27.9.2010,270,Lithuania,autumn,55.2845,26.7849,No,2,0.44,Moderate,12,0.844835069,1.980843348,0.797150005,0.165070279,192,6.633863965,NA,NA,NA,12,1,42,1,4,2,57,2,51,6,102,3,35,0.015598128,0.320093738,0.217404499,0.361694343,NA
LTR105_2012,LTR105_2012_26.9.2012,LTR105,26,9,2012,26.9.2012,270,Lithuania,autumn,55.2845,26.7849,No,2,0.72,Good,32,0.788996379,2.113904986,0.609944048,0.066059531,819,4.761018804,0.777777778,0.666666667,0.111111111,20.57345541,8,399,2,84,3,19,5,45,22,674,3,16,0.186086133,0.458101948,0.230189175,0.365326404,0.016129032
