site_code,sample_id,site_id,day,month,year,Date,day_of_year,country,season,Latitude,Longitude,Heavily_modified,river_type,EQR,EQC
LTR1_2010,LTR1_2010_4.10.2010,LTR1,4,10,2010,4.10.2010,277,Lithuania,autumn,54.0306,23.9684,No,4,0.7,Good
LTR1_2012,LTR1_2012_1.10.2012,LTR1,1,10,2012,1.10.2012,275,Lithuania,autumn,54.0306,23.9684,No,4,0.6,Good
LTR1_2013,LTR1_2013_7.10.2013,LTR1,7,10,2013,7.10.2013,280,Lithuania,autumn,54.0306,23.9684,No,4,0.72,Good
LTR1_2014,LTR1_2014_6.10.2014,LTR1,6,10,2014,6.10.2014,279,Lithuania,autumn,54.0306,23.9684,No,4,0.54,Moderate
LTR1_2015,LTR1_2015_5.10.2015,LTR1,5,10,2015,5.10.2015,278,Lithuania,autumn,54.0306,23.9684,No,4,0.81,Very good
LTR1_2016,LTR1_2016_3.10.2016,LTR1,3,10,2016,3.10.2016,277,Lithuania,autumn,54.0306,23.9684,No,4,0.51,Moderate
LTR1_2017,LTR1_2017_2.10.2017,LTR1,2,10,2017,2.10.2017,275,Lithuania,autumn,54.0306,23.9684,No,4,0.63,Good
LTR1_2020,LTR1_2020_5.10.2020,LTR1,5,10,2020,5.10.2020,279,Lithuania,autumn,54.0306,23.9684,No,4,0.54,Moderate
LTR105_2010,LTR105_2010_27.9.2010,LTR105,27,9,2010,27.9.2010,270,Lithuania,autumn,55.2845,26.7849,No,2,0.44,Moderate
LTR105_2012,LTR105_2012_26.9.2012,LTR105,26,9,2012,26.9.2012,270,Lithuania,autumn,55.2845,26.7849,No,2,0.72,Good
LTR105_2013,LTR105_2013_16.9.2013,LTR105,16,9,2013,16.9.2013,259,Lithuania,autumn,55.2845,26.7849,No,2,0.62,Good
LTR105_2014,LTR105_2014_23.9.2014,LTR105,23,9,2014,23.9.2014,266,Lithuania,autumn,55.2845,26.7849,No,2,0.68,Good
LTR105_2015,LTR105_2015_21.9.2015,LTR105,21,9,2015,21.9.2015,264,Lithuania,autumn,55.2845,26.7849,No,2,0.7,Good
LTR105_2016,LTR105_2016_26.9.2016,LTR105,26,9,2016,26.9.2016,270,Lithuania,autumn,55.2845,26.7849,No,2,0.67,Good
LTR105_2017,LTR105_2017_25.10.2017,LTR105,25,10,2017,25.10.2017,298,Lithuania,autumn,55.2845,26.7849,No,2,0.59,Moderate
LTR105_2020,LTR105_2020_22.9.2020,LTR105,22,9,2020,22.9.2020,266,Lithuania,autumn,55.2845,26.7849,No,2,0.58,Moderate
LTR11_2010,LTR11_2010_6.10.2010,LTR11,6,10,2010,6.10.2010,279,Lithuania,autumn,55.0701,22.578,Yes,4,0.42,Moderate
LTR11_2012,LTR11_2012_3.10.2012,LTR11,3,10,2012,3.10.2012,277,Lithuania,autumn,55.0701,22.578,Yes,4,0.42,Moderate
LTR11_2013,LTR11_2013_9.10.2013,LTR11,9,10,2013,9.10.2013,282,Lithuania,autumn,55.0701,22.578,Yes,4,0.41,Moderate
LTR11_2014,LTR11_2014_8.10.2014,LTR11,8,10,2014,8.10.2014,281,Lithuania,autumn,55.0701,22.578,Yes,4,0.44,Moderate
LTR11_2015,LTR11_2015_7.10.2015,LTR11,7,10,2015,7.10.2015,280,Lithuania,autumn,55.0701,22.578,Yes,4,0.398,Moderate
LTR11_2016,LTR11_2016_5.10.2016,LTR11,5,10,2016,5.10.2016,279,Lithuania,autumn,55.0701,22.578,Yes,4,0.39,Moderate
LTR11_2017,LTR11_2017_4.10.2017,LTR11,4,10,2017,4.10.2017,277,Lithuania,autumn,55.0701,22.578,Yes,4,0.51,Good
LTR11_2020,LTR11_2020_7.10.2020,LTR11,7,10,2020,7.10.2020,281,Lithuania,autumn,55.0701,22.578,Yes,4,0.45,Moderate
LTR127_2010,LTR127_2010_13.10.2010,LTR127,13,10,2010,13.10.2010,286,Lithuania,autumn,55.2913,21.3772,No,4,0.38,Poor
LTR127_2011,LTR127_2011_14.9.2011,LTR127,14,9,2011,14.9.2011,257,Lithuania,autumn,55.2913,21.3772,No,4,0.32,Poor
LTR127_2012,LTR127_2012_12.9.2012,LTR127,12,9,2012,12.9.2012,256,Lithuania,autumn,55.2913,21.3772,No,4,0.33,Poor
LTR127_2013,LTR127_2013_30.9.2013,LTR127,30,9,2013,30.9.2013,273,Lithuania,autumn,55.2913,21.3772,No,4,0.43,Moderate
LTR127_2014,LTR127_2014_15.10.2014,LTR127,15,10,2014,15.10.2014,288,Lithuania,autumn,55.2913,21.3772,No,4,0.33,Poor
LTR127_2015,LTR127_2015_12.10.2015,LTR127,12,10,2015,12.10.2015,285,Lithuania,autumn,55.2913,21.3772,No,4,0.31,Poor
LTR127_2016,LTR127_2016_12.9.2016,LTR127,12,9,2016,12.9.2016,256,Lithuania,autumn,55.2913,21.3772,No,4,0.41,Moderate
LTR127_2017,LTR127_2017_4.10.2017,LTR127,4,10,2017,4.10.2017,277,Lithuania,autumn,55.2913,21.3772,No,4,0.36,Poor
LTR127_2020,LTR127_2020_14.9.2020,LTR127,14,9,2020,14.9.2020,258,Lithuania,autumn,55.2913,21.3772,No,4,0.48,Moderate
LTR1282_2010,LTR1282_2010_6.10.2010,LTR1282,6,10,2010,6.10.2010,279,Lithuania,autumn,55.6678,23.0358,No,3,0.76,Good
LTR1282_2012,LTR1282_2012_17.10.2012,LTR1282,17,10,2012,17.10.2012,291,Lithuania,autumn,55.6678,23.0358,No,3,0.94,Very Good
LTR1282_2013,LTR1282_2013_26.9.2013,LTR1282,26,9,2013,26.9.2013,269,Lithuania,autumn,55.6678,23.0358,No,3,0.95,Very Good
LTR1282_2014,LTR1282_2014_22.9.2014,LTR1282,22,9,2014,22.9.2014,265,Lithuania,autumn,55.6678,23.0358,No,3,0.83,Very good
LTR1282_2015,LTR1282_2015_19.10.2015,LTR1282,19,10,2015,19.10.2015,292,Lithuania,autumn,55.6678,23.0358,No,3,0.98,Very good
LTR1282_2016,LTR1282_2016_28.11.2016,LTR1282,28,11,2016,28.11.2016,333,Lithuania,autumn,55.6678,23.0358,No,3,0.95,Very good
LTR1282_2017,LTR1282_2017_2.10.2017,LTR1282,2,10,2017,2.10.2017,275,Lithuania,autumn,55.6678,23.0358,No,3,0.8,Very good
LTR1282_2020,LTR1282_2020_20.10.2020,LTR1282,20,10,2020,20.10.2020,294,Lithuania,autumn,55.6678,23.0358,No,3,0.44,Moderate
LTR13_2010,LTR13_2010_11.10.2010,LTR13,11,10,2010,11.10.2010,284,Lithuania,autumn,55.2726,21.4106,Yes,4,0.46,Moderate
LTR13_2011,LTR13_2011_12.9.2011,LTR13,12,9,2011,12.9.2011,255,Lithuania,autumn,55.2726,21.4106,Yes,4,0.46,Moderate
LTR13_2012,LTR13_2012_8.10.2012,LTR13,8,10,2012,8.10.2012,282,Lithuania,autumn,55.2726,21.4106,Yes,4,0.42,Moderate
LTR13_2013,LTR13_2013_30.9.2013,LTR13,30,9,2013,30.9.2013,273,Lithuania,autumn,55.2726,21.4106,Yes,4,0.34,Moderate
LTR13_2014,LTR13_2014_13.10.2014,LTR13,13,10,2014,13.10.2014,286,Lithuania,autumn,55.2726,21.4106,Yes,4,0.29,Poor
LTR13_2015,LTR13_2015_12.10.2015,LTR13,12,10,2015,12.10.2015,285,Lithuania,autumn,55.2726,21.4106,Yes,4,0.399,Moderate
LTR13_2016,LTR13_2016_12.9.2016,LTR13,12,9,2016,12.9.2016,256,Lithuania,autumn,55.2726,21.4106,Yes,4,0.48,Moderate
LTR13_2017,LTR13_2017_4.10.2017,LTR13,4,10,2017,4.10.2017,277,Lithuania,autumn,55.2726,21.4106,Yes,4,0.4,Moderate
LTR13_2020,LTR13_2020_14.9.2020,LTR13,14,9,2020,14.9.2020,258,Lithuania,autumn,55.2726,21.4106,Yes,4,0.5,Good
LTR1301_2010,LTR1301_2010_4.10.2010,LTR1301,4,10,2010,4.10.2010,277,Lithuania,autumn,54.0906,24.2934,No,1,0.87,Very Good
LTR1301_2012,LTR1301_2012_10.10.2012,LTR1301,10,10,2012,10.10.2012,284,Lithuania,autumn,54.0906,24.2934,No,1,0.72,Good
LTR1301_2013,LTR1301_2013_7.10.2013,LTR1301,7,10,2013,7.10.2013,280,Lithuania,autumn,54.0906,24.2934,No,1,0.86,Very Good
LTR1301_2014,LTR1301_2014_6.10.2014,LTR1301,6,10,2014,6.10.2014,279,Lithuania,autumn,54.0906,24.2934,No,1,0.76,Good
LTR1301_2015,LTR1301_2015_12.10.2015,LTR1301,12,10,2015,12.10.2015,285,Lithuania,autumn,54.0906,24.2934,No,1,0.95,Very good
LTR1301_2016,LTR1301_2016_17.10.2016,LTR1301,17,10,2016,17.10.2016,291,Lithuania,autumn,54.0906,24.2934,No,1,0.78,Good
